mode,gamma,seed,kappa,leader_id,leader_role_final,final_top_followers,tail_welfare,final_norm,final_norm_welfare_check,best_norm,best_norm_welfare,welfare_gap_to_best,is_final_norm_optimal
static,5.0,0,0.0,58,personal_utility,99,28.159745696512772,0100110100,29.31819563761768,0000100011,31.418451474758573,2.1002558371408924,0
static,5.0,0,0.005,58,personal_utility,99,28.159745696512772,0100110100,29.31819563761768,0000100011,31.418451474758573,2.1002558371408924,0
static,5.0,0,0.01,58,personal_utility,99,28.159745696512772,0100110100,29.31819563761768,0000100011,31.418451474758573,2.1002558371408924,0
static,5.0,0,0.015,58,status,99,30.75041260927493,0101100010,30.822642052506755,0000100011,31.418451474758573,0.5958094222518184,0
static,5.0,0,0.02,58,status,99,30.819888023130872,0000100110,30.818709804681582,0000100011,31.418451474758573,0.5997416700769911,0
static,5.0,0,0.03,58,status,99,30.82032145903004,0000100110,30.818709804681582,0000100011,31.418451474758573,0.5997416700769911,0
static,5.0,0,0.05,58,status,99,30.732274535895442,0000100110,30.818709804681582,0000100011,31.418451474758573,0.5997416700769911,0
