mode,gamma,kappa,seed,leader_id,final_top_followers,time_to_90pct_followers,leader_switches,tail_welfare,leader_role_final,leader_is_status_final,final_status_count,tail_status_leader_share,tail_status_agent_share,final_norm,best_norm,final_norm_welfare_check,best_norm_welfare,welfare_gap_to_best,is_final_norm_optimal
static,5.0,0.0,0,58,99,50,0,28.159745696512772,personal_utility,0,0,0.0,0.0,0100110100,0000100011,29.31819563761768,31.418451474758573,2.1002558371408924,0
static,5.0,0.005,0,58,99,50,0,28.159745696512772,personal_utility,0,0,0.0,0.0,0100110100,0000100011,29.31819563761768,31.418451474758573,2.1002558371408924,0
static,5.0,0.01,0,58,99,50,0,28.159745696512772,personal_utility,0,0,0.0,0.0,0100110100,0000100011,29.31819563761768,31.418451474758573,2.1002558371408924,0
static,5.0,0.015,0,58,99,50,0,30.75041260927493,status,1,1,1.0,0.01,0101100010,0000100011,30.822642052506755,31.418451474758573,0.5958094222518184,0
static,5.0,0.02,0,58,99,50,0,30.819888023130872,status,1,1,1.0,0.01,0000100110,0000100011,30.818709804681582,31.418451474758573,0.5997416700769911,0
static,5.0,0.03,0,58,99,50,0,30.82032145903004,status,1,1,1.0,0.01,0000100110,0000100011,30.818709804681582,31.418451474758573,0.5997416700769911,0
static,5.0,0.05,0,58,99,50,0,30.732274535895442,status,1,1,1.0,0.01,0000100110,0000100011,30.818709804681582,31.418451474758573,0.5997416700769911,0
