mode,reward_model,num_states,seed,agent_id,final_role,followers,estimated_pu,estimated_rep,estimated_status,actor_rate,true_reputation
static,shared_base_gaussian,10,0,68,personal_utility,0,nan,nan,nan,nan,35.317297958053615
static,shared_base_gaussian,10,0,69,personal_utility,0,nan,nan,nan,nan,35.49531227100148
static,shared_base_gaussian,10,0,70,personal_utility,0,nan,nan,nan,nan,35.26067983724331
static,shared_base_gaussian,10,0,71,personal_utility,0,nan,nan,nan,nan,35.308066878055406
static,shared_base_gaussian,10,0,72,personal_utility,0,nan,nan,nan,nan,35.29086558385685
static,shared_base_gaussian,10,0,73,personal_utility,0,nan,nan,nan,nan,35.342872276439834
static,shared_base_gaussian,10,0,74,personal_utility,0,nan,nan,nan,nan,35.5104674251068
static,shared_base_gaussian,10,0,75,personal_utility,0,nan,nan,nan,nan,35.38632208895354
static,shared_base_gaussian,10,0,76,personal_utility,0,nan,nan,nan,nan,35.63220166599972
static,shared_base_gaussian,10,0,77,personal_utility,0,nan,nan,nan,nan,35.60097174665888
static,shared_base_gaussian,10,0,78,personal_utility,0,nan,nan,nan,nan,35.46995403250548
static,shared_base_gaussian,10,0,79,personal_utility,0,nan,nan,nan,nan,35.21055916560409
static,shared_base_gaussian,10,0,80,personal_utility,0,nan,nan,nan,nan,35.1159154018705
static,shared_base_gaussian,10,0,81,personal_utility,0,nan,nan,nan,nan,35.37522361148355
static,shared_base_gaussian,10,0,82,personal_utility,0,nan,nan,nan,nan,35.39365295416275
static,shared_base_gaussian,10,0,83,personal_utility,0,nan,nan,nan,nan,35.47111338071157
static,shared_base_gaussian,10,0,84,personal_utility,0,nan,nan,nan,nan,35.55912066252587
static,shared_base_gaussian,10,0,85,personal_utility,0,nan,nan,nan,nan,35.52339122735034
static,shared_base_gaussian,10,0,86,personal_utility,0,nan,nan,nan,nan,35.251086983202526
static,shared_base_gaussian,10,0,87,personal_utility,0,nan,nan,nan,nan,35.20314502856972
static,shared_base_gaussian,10,0,88,personal_utility,0,nan,nan,nan,nan,35.40112133200876
static,shared_base_gaussian,10,0,89,personal_utility,0,nan,nan,nan,nan,35.32300450925639
static,shared_base_gaussian,10,0,90,personal_utility,0,nan,nan,nan,nan,35.3357156569537
static,shared_base_gaussian,10,0,91,personal_utility,0,nan,nan,nan,nan,35.545879143784056
static,shared_base_gaussian,10,0,92,personal_utility,0,nan,nan,nan,nan,35.41014949711121
static,shared_base_gaussian,10,0,93,personal_utility,0,nan,nan,nan,nan,35.465115518690126
static,shared_base_gaussian,10,0,94,personal_utility,0,nan,nan,nan,nan,35.33583809386142
static,shared_base_gaussian,10,0,95,personal_utility,0,nan,nan,nan,nan,35.355229784745916
static,shared_base_gaussian,10,0,96,personal_utility,0,nan,nan,nan,nan,35.54923608415642
static,shared_base_gaussian,10,0,97,personal_utility,0,nan,nan,nan,nan,35.510792573932484
static,shared_base_gaussian,10,0,98,personal_utility,0,nan,nan,nan,nan,35.55140371343106
static,shared_base_gaussian,10,0,99,personal_utility,0,nan,nan,nan,nan,35.652721157056774
