mode,reward_model,num_states,seed,leader_id,leader_role_final,final_top_followers,time_to_50pct_followers,time_to_90pct_followers,leader_switches,tail_welfare,final_pu,final_rep,final_status,tail_top_follower_share
static,shared_base_gaussian,3,0,-1,none,0,-1,-1,0,1.7777518308439832,8,0,0,0.0
static,shared_base_gaussian,3,1,-1,none,0,-1,-1,0,1.6183188818529186,8,0,0,0.0
static,shared_base_gaussian,3,2,-1,none,0,-1,-1,0,1.6705106068520303,8,0,0,0.0
static,shared_base_gaussian,4,0,-1,none,0,-1,-1,0,2.0149218603829615,8,0,0,0.0
static,shared_base_gaussian,4,1,-1,none,0,-1,-1,0,1.709644254183931,8,0,0,0.0
static,shared_base_gaussian,4,2,-1,none,0,-1,-1,0,1.6350956891939237,8,0,0,0.0
