mode,reward_model,num_states,n_runs,mean_final_top_followers,std_final_top_followers,ci95_final_top_followers,mean_time_to_50pct_followers,std_time_to_50pct_followers,ci95_time_to_50pct_followers,mean_time_to_90pct_followers,std_time_to_90pct_followers,ci95_time_to_90pct_followers,mean_leader_switches,std_leader_switches,ci95_leader_switches,mean_tail_welfare,std_tail_welfare,ci95_tail_welfare,mean_final_pu,std_final_pu,ci95_final_pu,mean_final_rep,std_final_rep,ci95_final_rep,mean_final_status,std_final_status,ci95_final_status,mean_tail_top_follower_share,std_tail_top_follower_share,ci95_tail_top_follower_share
static,shared_base_gaussian,3,3,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.688860439849644,0.08128501451237546,0.09198265301921311,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,shared_base_gaussian,4,3,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.7865539345869388,0.2012543273691293,0.22774071056100198,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
