step,role_update_step,leader_pre,leader_pre_followers,top_followers,current_leader,alt_leader_id,largest_alt_leader_followers,pu_share,tracked_targets,targets_following_preleader,targets_in_pu,targets_in_rep_elsewhere,mean_gamma_selected_rep,mean_rep_to_preleader,mean_estimated_reward_pu,mean_threshold,mean_step1_margin,min_step1_margin,share_positive_step1_margin,mean_positive_step1_margin,mean_highest_rep_is_preleader,num_role_updates_since_perturb_end
6200,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6201,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6202,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6203,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6204,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6205,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6206,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6207,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6208,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6209,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6210,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6211,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6212,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6213,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6214,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6215,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6216,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6217,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6218,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6219,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6220,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6221,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6222,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6223,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6224,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6225,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6226,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6227,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6228,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6229,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6230,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6231,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6232,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6233,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6234,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6235,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6236,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6237,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6238,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6239,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6240,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6241,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6242,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6243,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6244,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6245,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6246,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6247,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6248,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6249,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6250,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6251,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6252,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6253,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6254,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6255,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6256,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6257,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6258,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6259,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6260,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6261,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6262,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6263,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6264,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6265,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
6266,0,23,49,49,23,-1,0,0.02,49,49,0,0,0.0,0.0,0.7025333739196004,0.7025333739196004,-0.7025333739196004,-0.7924222414743037,0.0,nan,0.0,0
