step,role_update_step,leader_pre,leader_pre_followers,top_followers,current_leader,alt_leader_id,largest_alt_leader_followers,pu_share,tracked_targets,targets_following_preleader,targets_in_pu,targets_in_rep_elsewhere,mean_gamma_selected_rep,mean_rep_to_preleader,mean_estimated_reward_pu,mean_threshold,mean_step1_margin,min_step1_margin,share_positive_step1_margin,mean_positive_step1_margin,mean_highest_rep_is_preleader,num_role_updates_since_perturb_end
6229,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6230,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6231,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6232,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6233,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6234,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6235,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6236,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6237,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6238,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6239,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6240,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6241,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6242,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6243,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6244,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6245,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6246,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6247,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6248,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6249,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6250,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6251,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6252,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6253,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6254,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6255,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6256,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6257,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6258,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6259,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6260,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6261,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6262,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6263,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6264,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6265,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6266,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6267,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6268,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6269,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6270,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6271,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6272,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6273,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6274,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6275,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6276,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
