step,role_update_step,leader_pre,leader_pre_followers,top_followers,current_leader,alt_leader_id,largest_alt_leader_followers,pu_share,tracked_targets,targets_following_preleader,targets_in_pu,targets_in_rep_elsewhere,mean_gamma_selected_rep,mean_rep_to_preleader,mean_estimated_reward_pu,mean_threshold,mean_step1_margin,min_step1_margin,share_positive_step1_margin,mean_positive_step1_margin,mean_highest_rep_is_preleader,num_role_updates_since_perturb_end
6200,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6201,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6202,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6203,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6204,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6205,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6206,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6207,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6208,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6209,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
6210,0,35,49,49,35,-1,0,0.02,49,49,0,0,0.0,0.0,0.6941250003295835,0.6941250003295835,-0.6941250003295835,-0.7624399019106489,0.0,nan,0.0,0
